Price,Close,High,Low,Open,Volume,processed_at,z_score,is_anomaly
2026-03-13 02:01:00+00:00,71586.78125,71586.78125,71586.78125,71586.78125,36061184,2026-03-13 19:06:14.883439,-0.09867010577825612,False
2026-03-13 02:02:00+00:00,71561.4609375,71561.4609375,71561.4609375,71561.4609375,0,2026-03-13 19:06:14.883439,-0.16190695462883187,False
2026-03-13 02:03:00+00:00,71566.3125,71566.3125,71566.3125,71566.3125,0,2026-03-13 19:06:14.883439,-0.1497902983078792,False
2026-03-13 02:04:00+00:00,71585.0625,71585.0625,71585.0625,71585.0625,0,2026-03-13 19:06:14.883439,-0.10296264102883516,False
2026-03-13 02:05:00+00:00,71569.4296875,71569.4296875,71569.4296875,71569.4296875,0,2026-03-13 19:06:14.883439,-0.14200520028523814,False
2026-03-13 02:07:00+00:00,71559.984375,71559.984375,71559.984375,71559.984375,0,2026-03-13 19:06:14.883439,-0.16559463263955657,False
2026-03-13 02:08:00+00:00,71523.953125,71523.953125,71523.953125,71523.953125,40960,2026-03-13 19:06:14.883439,-0.25558178071078624,False
2026-03-13 02:10:00+00:00,71543.640625,71543.640625,71543.640625,71543.640625,372080640,2026-03-13 19:06:14.883439,-0.20641274056778997,False
2026-03-13 02:12:00+00:00,71624.6015625,71624.6015625,71624.6015625,71624.6015625,16793600,2026-03-13 19:06:14.883439,-0.004214818741651026,False
2026-03-13 02:13:00+00:00,71601.15625,71601.15625,71601.15625,71601.15625,0,2026-03-13 19:06:14.883439,-0.06276890186432235,False
2026-03-13 02:14:00+00:00,71590.4375,71590.4375,71590.4375,71590.4375,8859648,2026-03-13 19:06:14.883439,-0.08953871260884254,False
2026-03-13 02:15:00+00:00,71574.1171875,71574.1171875,71574.1171875,71574.1171875,3858432,2026-03-13 19:06:14.883439,-0.13029828596547713,False
2026-03-13 02:17:00+00:00,71535.921875,71535.921875,71535.921875,71535.921875,27303936,2026-03-13 19:06:14.883439,-0.2256901261476631,False
2026-03-13 02:18:00+00:00,71455.203125,71455.203125,71455.203125,71455.203125,389120,2026-03-13 19:06:14.883439,-0.4272831907339477,False
2026-03-13 02:19:00+00:00,71527.7578125,71527.7578125,71527.7578125,71527.7578125,35246080,2026-03-13 19:06:14.883439,-0.24607966858791352,False
2026-03-13 02:21:00+00:00,71546.7421875,71546.7421875,71546.7421875,71546.7421875,0,2026-03-13 19:06:14.883439,-0.19866666559288143,False
2026-03-13 02:22:00+00:00,71489.3203125,71489.3203125,71489.3203125,71489.3203125,0,2026-03-13 19:06:14.883439,-0.34207636600995384,False
2026-03-13 02:23:00+00:00,71486.1640625,71486.1640625,71486.1640625,71486.1640625,0,2026-03-13 19:06:14.883439,-0.3499590216519262,False
2026-03-13 02:24:00+00:00,71492.21875,71492.21875,71492.21875,71492.21875,9175040,2026-03-13 19:06:14.883439,-0.3348375906555683,False
2026-03-13 02:25:00+00:00,71476.5078125,71476.5078125,71476.5078125,71476.5078125,22986752,2026-03-13 19:06:14.883439,-0.37407526515063394,False
2026-03-13 02:26:00+00:00,71484.9609375,71484.9609375,71484.9609375,71484.9609375,0,2026-03-13 19:06:14.883439,-0.35296379632733155,False
2026-03-13 02:27:00+00:00,71480.2890625,71480.2890625,71480.2890625,71480.2890625,12369920,2026-03-13 19:06:14.883439,-0.36463168759936004,False
2026-03-13 02:29:00+00:00,71471.4921875,71471.4921875,71471.4921875,71471.4921875,0,2026-03-13 19:06:14.883439,-0.3866016634727782,False
2026-03-13 02:31:00+00:00,71477.5625,71477.5625,71477.5625,71477.5625,0,2026-03-13 19:06:14.883439,-0.3714412094286877,False
2026-03-13 02:32:00+00:00,71424.5703125,71424.5703125,71424.5703125,71424.5703125,1265664,2026-03-13 19:06:14.883439,-0.503787875813586,False
2026-03-13 02:33:00+00:00,71397.9609375,71397.9609375,71397.9609375,71397.9609375,942080,2026-03-13 19:06:14.883439,-0.570244126102096,False
2026-03-13 02:34:00+00:00,71377.59375,71377.59375,71377.59375,71377.59375,0,2026-03-13 19:06:14.883439,-0.6211106688214576,False
2026-03-13 02:35:00+00:00,71358.046875,71358.046875,71358.046875,71358.046875,5832704,2026-03-13 19:06:14.883439,-0.6699285015348609,False
2026-03-13 02:36:00+00:00,71366.203125,71366.203125,71366.203125,71366.203125,0,2026-03-13 19:06:14.883439,-0.6495584706184768,False
2026-03-13 02:37:00+00:00,71341.25,71341.25,71341.25,71341.25,0,2026-03-13 19:06:14.883439,-0.7118782778473379,False
2026-03-13 02:38:00+00:00,71351.5390625,71351.5390625,71351.5390625,71351.5390625,0,2026-03-13 19:06:14.883439,-0.6861816009154625,False
2026-03-13 02:39:00+00:00,71349.2890625,71349.2890625,71349.2890625,71349.2890625,0,2026-03-13 19:06:14.883439,-0.6918009197889478,False
2026-03-13 02:41:00+00:00,71250.734375,71250.734375,71250.734375,71250.734375,412168192,2026-03-13 19:06:14.883439,-0.9379387933619231,False
2026-03-13 02:42:00+00:00,71286.5,71286.5,71286.5,71286.5,0,2026-03-13 19:06:14.883439,-0.8486150371021466,False
2026-03-13 02:43:00+00:00,71265.1328125,71265.1328125,71265.1328125,71265.1328125,11739136,2026-03-13 19:06:14.883439,-0.9019790548763905,False
2026-03-13 02:44:00+00:00,71180.65625,71180.65625,71180.65625,71180.65625,0,2026-03-13 19:06:14.883439,-1.1129571624423502,False
2026-03-13 02:45:00+00:00,71183.6875,71183.6875,71183.6875,71183.6875,11448320,2026-03-13 19:06:14.883439,-1.105386691182238,False
2026-03-13 02:46:00+00:00,71198.8984375,71198.8984375,71198.8984375,71198.8984375,142553088,2026-03-13 19:06:14.883439,-1.0673977542146136,False
2026-03-13 02:48:00+00:00,71221.546875,71221.546875,71221.546875,71221.546875,0,2026-03-13 19:06:14.883439,-1.0108338465263016,False
2026-03-13 02:49:00+00:00,71235.140625,71235.140625,71235.140625,71235.140625,0,2026-03-13 19:06:14.883439,-0.9768837949989947,False
